title,company,location,salary_predicted,salary_min,salary_max,category,description,skills
Développeuse / Développeur Cleva - Nantes,Capgemini,"Nantes, Loire-Atlantique",0,,,Unknown,"Choisir Capgemini, c'est choisir une entreprise où vous serez en mesure de façonner votre carrière selon vos aspirations. Avec le soutien et l'inspiration d'une communauté d’experts dans le monde entier, vous pourrez réécrire votre futur. Rejoignez-nous pour redéfinir les limites de ce qui est possible, contribuer à libérer la valeur de la technologie pour les plus grandes organisations et participer à la construction d’un monde plus durable et inclusif. Vos missions : Participer à chacune des …",
Développeuse / Développeur PEGA - Paris,Capgemini,"Paris, Ile-de-France",0,,,Unknown,"Choisir Capgemini, c'est choisir une entreprise où vous serez en mesure de façonner votre carrière selon vos aspirations. Avec le soutien et l'inspiration d'une communauté d’experts dans le monde entier, vous pourrez réécrire votre futur. Rejoignez-nous pour redéfinir les limites de ce qui est possible, contribuer à libérer la valeur de la technologie pour les plus grandes organisations et participer à la construction d’un monde plus durable et inclusif. Vos missions : Accompagner nos clients e…",
Développeur / Développeuse JAVA,Phusis Group,France,0,,,Unknown,"Développeur / Développeuse Java (CDI ou Freelance) Phusis Group – Lyon, Grenoble, Tours, France (Hybride) Vous souhaitez évoluer dans une entreprise où innovation, design centré sur l’humain et engagement écoresponsable s’entrelacent ? Phusis Group , collectif engagé dans les services Design, Développement et Data/IA , recherche un(e) Développeur/Développeuse Java pour accompagner des projets variés avec des startups comme des grands comptes, en mettant l'accent sur des solutions écoresponsable…",
Développeur/Développeuse .NET,Mobiskill | WEFY Group,France,0,,,Unknown,"L'entreprise : Il s'agit d'une société innovante dans le secteur des annonces immobilières, qui souhaite repenser et optimiser ses solutions web et mobiles. Leur objectif est clair : disrupter le marché immobilier avec une technologie à la pointe. Actuellement leader européen du marché, ils ambitionnent de continuer leur internationalisation ! Les missions : > Participer au développement des solutions en C# > Collaborer avec une équipe Agile pour concevoir des solutions performantes > Échanger …",
Développeur/Développeuse PHP,Ouidou,"Paris, Ile-de-France",0,,,Unknown,"Mais… ! Qui est OUIDOU ? Fondée en 2017 par 3 ingénieurs, Ouidou est une société en forte croissance. Basée à Paris, Nantes, Lyon, Lille et Strasbourg, nous accompagnons nos clients (PME & grands groupes) à travers trois spécialités : Le DevOps, le développement forfaitaire ou en feature team et l’accompagnement AGILE autour des outils Atlassian tel que Jira. Venez participer à une aventure humaine alliant innovation technologique, engagement et management de proximité ! Etes-vous prêt(e) pour …",
Développeur/Développeuse CDI Hybride Bordeaux,SoftFluent,"Bordeaux, Gironde",0,,,Emplois Informatique," SoftFluent, une ESN en pleine croissance dont 70% des collaborateurs sont actionnaires. Au sein de notre groupe, il est possible pour chaque collaborateur.trice d'être partie prenante du futur de l'entreprise. SoftFluent s'installe dans la région bordelaise et recherche deux profils de Développeur(e) Full-Stack .Net pour concevoir et développer des applications web sur mesure basées sur les frameworks .Net de Microsoft. Vous interviendrez sur des projets réalisés à l’agence ou directement au s…",
Alternance - Développeuse / Développeur Salesforce - Paris,Capgemini,"Paris, Ile-de-France",0,,,Unknown,"Choisir Capgemini, c'est choisir une entreprise où vous serez en mesure de façonner votre carrière selon vos aspirations. Avec le soutien et l'inspiration d’une communauté d’experts dans le monde entier, où vous pourrez réécrire votre futur. Rejoignez nous pour redéfinir les limites de ce qui est possible, contribuer à libérer la valeur de la technologie pour les plus grandes organisations et participer à la construction d’un monde plus durable et inclusif ! Vos missions En collaboration avec v…",
Développeur iOS/Développeuse iOS,Proxiad,"Aix-en-Provence, Bouches-du-Rhône",0,,,Emplois Comptabilité et Finance,"Développeur iOS orienté tests – Junior Vous êtes développeur iOS… et vous aimez casser le code ? Cette mission est pour vous. Vous avez un profil de développeur iOS (Swift) mais vous êtes attiré(e) par la qualité logicielle , les tests automatisés , les environnements mobiles bien structurés ? Rejoignez une équipe où vous pourrez mettre vos compétences de dev au service de la fiabilité d’une application utilisée par des millions de clients. Localisation : Aix-en-Provence (2 jours par semaine su…",
Développeur web/Développeuse web,Adentis,"Montpellier, Hérault",0,,,Unknown,"Qui sommes nous ? ✨ Adentis est une société de conseil spécialisée dans les systèmes embarqués, l'IT et la cybersécurité. Créée en octobre 2000, Adentis a rejoint en 2013 le groupe MoOngy. Depuis 2014, Adentis se développe au niveau national et compte aujourd'hui  de 550 collaborateurs en France. Pour compléter nos équipes, nous recherchons un développeur web FrontEnd afin d'intervenir sur l'un de nos projets dans le secteur du bancaire. Le développeur sera responsable de diverses tâches liées …",
Développeur Python/Développeuse Python,Audensiel,"Nantes, Loire-Atlantique",0,,,Unknown,"Développeur Python (H/F) Vous êtes passionné(e) par le développement backend et les architectures cloud ? Vous aimez résoudre des problèmes complexes avec du code propre, scalable et maintenable ? Rejoignez une équipe tech dynamique en pleine croissance ! Votre mission Au sein de l’équipe technique, vous participerez à la conception, au développement et au déploiement de solutions cloud robustes et performantes, en étroite collaboration avec les DevOps, les Data Engineers et les Product Owners.…",Python
Développeur Dotnet/Développeuse Dotnet,SFEIR,"Bordeaux, Gironde",0,,,Unknown,"Développeur(euse) .Net expérimenté(e) - CDI Qui sommes-nous ? SFEIR, c’est avant tout une communauté de 900 devs, en France, en Belgique et au Luxembourg, unis par la passion, dont 19 à Bordeaux. Nous aidons nos clients à : Développer des applications web et mobiles pour améliorer leur expérience client et se connecter partout ; Être compatible avec le futur en développant leurs architectures SI, Cloud et Data ; Donner de la valeur à leurs données , innover avec l’IA ; Créer de la valeur grâce …",
Développeur Dotnet/Développeuse Dotnet,Audensiel,"Nancy, Meurthe-et-Moselle",0,,,Unknown,"Audensiel, c'est une société de conseil spécialisée dans la transformation digitale. Notre objectif ? Apporter des solutions sur mesure, adaptées aux besoins spécifiques de chaque client. Avec plus de 2500 collaborateurs et 150 clients, Audensiel est présent sur l'ensemble du territoire, ainsi qu'a l'international. Avec une croissance moyenne de plus de 20% depuis plus de 4 ans, saura trouver LA mission qui vous correspond ! Les missions du poste : En tant que Développeur C# / .NET, vous serez …",
Développeur Dotnet/Développeuse Dotnet,Audensiel,"Strasbourg, Strasbourg-Ville",0,,,Unknown,"Audensiel, c'est une société de conseil spécialisée dans la transformation digitale. Notre objectif ? Apporter des solutions sur mesure, adaptées aux besoins spécifiques de chaque client. Avec plus de 2500 collaborateurs et 150 clients, Audensiel est présent sur l'ensemble du territoire, ainsi qu'a l'international. Avec une croissance moyenne de plus de 20% depuis plus de 4 ans, saura trouver LA mission qui vous correspond ! Les missions du poste : En tant que Développeur C# / .NET, vous serez …",
Développeur web/Développeuse web,Grafton Recruitment,France,0,,,Unknown,"À propos de nous : Fort de plus de 40 années d’expérience en Europe, Grafton est spécialisé dans le recrutement de professionnels qualifiés, que ce soit pour des besoins uniques comme pour des projets volumiques. En France, Grafton rassemble une centaine de professionnels du recrutement répartis au sein d’un réseau de 14 bureaux. Ils délèguent quotidiennement du personnel aussi bien en intérim, CDD, CDI qu’en contracting et consulting auprès de plus de 800 clients qui leur font confiance. Missi…",
Développeur PHP/Développeuse PHP,KP2I,"Ile-de-France, France",0,,,Unknown,"Nous sommes à la recherche d’un(e) développeur(se) PHP/Symfony confirmé(e) pour accompagner l’évolution technique et fonctionnelle de nos sites web dédiés aux formations et conférences. Vous jouerez un rôle clé dans l’amélioration de l’expérience utilisateur, la performance technique, et le développement de nouvelles fonctionnalités à forte valeur ajoutée.  Vos missions principales : Recueillir les besoins fonctionnels auprès de la direction générale et du pôle marketing : parcours client, perf…",
Développeur Dotnet/Développeuse Dotnet,UTi GROUP.,"Lyon, Rhône",0,,,Unknown,"Directement intégré à l'équipe en charge des applications batch et IHM de notre client, acteur majeur du domaine bancaire, vous intervenez en tant que qu'analyste développeur C# sur des sujets variés (montée de version de framework ou d'outils digitaux, mise en place d'écrans, refonte d'outils, etc). Responsabilités : Conception d’évolutions / étude d’impacts techniques Développement Conception et mise en place des cas de test, tests unitaires et tests d’intégration Interface technique avec les…",
Développeur / Développeuse Java - Confirmé,SFEIR,"Strasbourg, Strasbourg-Ville",0,,,Unknown," Qui sommes-nous ? SFEIR, c’est avant tout une communauté de 800 dev’ unis par la passion, dont 120 à Strasbourg. Nous aidons nos clients à : Développer des applications web et mobiles pour améliorer leur expérience client ; Être compatibles avec le futur en développant leurs architectures SI, Cloud et Data ; Donner de la valeur à leurs données , innover avec l’IA ; Créer de la valeur grâce aux API & microservices .  Ce que tu feras, en tant que Dev’ Java chez SFEIR ? Actuellement voici le type…",
Développeur Python/Développeuse Python,Aleysia,"Lyon, Rhône",0,,,Unknown," Coder est une seconde nature pour toi et tu es particulièrement attiré par le langage Python ? Nous t'attendons de pied ferme, postule à cette offre de Développeur·se Python ! ⬇️  Ton challenge si tu l’acceptes : Concevoir et développer des solutions avec un code performant et documenté Collaborer à la conception de l'architecture d'un projet informatique Gérer la maintenance corrective et évolutive de l'application Participer activement à l'amélioration continue interne Implémenter des tests …",Python
